txname	uhr 1	uhr 2	uhr 3	uhr 4	brain 1	brain 2	brain 3	brain 4	seqnames	start	end	width	strand	tx_id
NM_000104	0.14942418	0.1463118	0.14968676	0.13832731	0.11474273	0.10106245	0.1142901	0.11383323	chr2	38148250	38156827	8578	-	4755
NM_000106	0.00195132	0.00127365	0.00218162	0.00272197	0.00090285	0.0011517	0.00081415	0.00093967	chr22	40852445	40856827	4383	-	36045
NM_000110	0.19276577	0.1892549	0.19211976	0.18954019	0.06412412	0.06897374	0.06381966	0.06182596	chr1	97315888	98159203	843316	-	105
NM_000122	0.47551756	0.47575182	0.49999449	0.45910385	0.32182456	0.35480452	0.35957688	0.34759764	chr2	127731336	127768222	36887	-	5262
NM_000123	0.43332903	0.45347894	0.4790904	0.47377308	0.43597107	0.42413341	0.44590463	0.44153382	chr13	102296175	102326346	30172	+	25110
NM_000129	0.00152785	0.00194621	0.00177545	0.00265074	0.13737523	0.13998378	0.14637988	0.14692444	chr6	6089310	6265923	176614	-	10771
NM_000137	0.17297854	0.17450314	0.17292459	0.16701776	0.02712888	0.02731545	0.02547608	0.0269498	chr15	78232396	78265737	33342	+	26641
NM_000151	0.09609768	0.10787859	0.10785967	0.10881443	0.00047418	0.00047418	0.00047418	0.00047418	chr17	38306341	38318912	12572	+	30091
NM_000168	0.44700909	0.45964339	0.45952353	0.45742131	0.22767436	0.23565105	0.23402335	0.22513883	chr7	41967073	42243143	276071	-	12931
NM_000173	0.00049723	0.00049723	0.00049723	0.00049723	0.00047418	0.00047418	0.00047418	0.00047418	chr17	4776372	4779067	2696	+	29141
NM_000187	0.24770367	0.24681013	0.23743774	0.23803205	0.00340569	0.00450323	0.00399514	0.00299311	chr3	121829705	121884108	54404	-	7327
NM_000187	0.24770367	0.24681013	0.23743774	0.23803205	0.00340569	0.00450323	0.00399514	0.00299311	chr3_random	18898	73308	54411	+	36250
NM_000193	0.01614679	0.01645791	0.01387188	0.01370827	0.0185307	0.01771995	0.01874005	0.01900407	chr7	155288319	155297728	9410	-	14205
NM_000194	1.36897717	1.40230102	1.37847259	1.35618603	1.01640756	1.04249167	1.01654414	0.98911642	chrX	133421841	133462364	40524	+	18442
NM_000201	0.39252996	0.38304684	0.40281701	0.40641534	0.04467942	0.04539034	0.04400368	0.0426519	chr19	10242517	10258291	15775	+	32222
NM_000215	0.13561003	0.13458834	0.12897057	0.12756041	0.15193003	0.14452879	0.14764413	0.16888654	chr19	17796593	17819841	23249	-	32481
NM_000222	0.06070111	0.06001988	0.06217095	0.06882985	0.60842002	0.58497871	0.58575452	0.59448444	chr4	55218852	55301638	82787	+	8654
NM_000237	0.0511122	0.047019	0.03875282	0.0454424	0.3578011	0.34700412	0.35047337	0.37060896	chr8	19840862	19869050	28189	+	14866
NM_000259	0.23184289	0.23885055	0.22619789	0.22987262	2.12677323	2.05511172	2.13395849	2.14179176	chr15	50386773	50608539	221767	-	26511
NM_000264	0.06091272	0.06008885	0.06310638	0.05986198	0.15259291	0.14871088	0.16209702	0.15637038	chr9	97245085	97310652	65568	-	15773
NM_000300	0.09334569	0.08807599	0.0869721	0.08643034	0.00355926	0.00301073	0.00185643	0.0029732	chr1	20174511	20179519	5009	-	1370
NM_000306	0.00050608	0.00050608	0.00050608	0.00050608	0.00047983	0.00047983	0.00047983	0.00047983	chr3	87391473	87408427	16955	-	7200
NM_000321	0.36849333	0.37946576	0.38281364	0.37109283	0.203799	0.19374156	0.18601502	0.19675058	chr13	47775884	47954027	178144	+	24718
NM_000324	0.44228773	0.45227558	0.45599567	0.44147485	0.00040849	0.00040849	0.00040849	0.00040849	chr6	49680849	49712546	31698	-	11692
NM_000327	0.00606303	0.00433686	0.00522087	0.00531515	0.06717454	0.06560371	0.06872903	0.07086157	chr11	62136789	62139168	2380	+	21912
NM_000339	0.16453417	0.15852676	0.16295127	0.16289515	0.00040849	0.00040849	0.00040849	0.00040849	chr16	55456620	55507263	50644	+	28581
NM_000352	0.00166321	0.00144358	0.00136933	0.00137693	0.17190132	0.17752947	0.18378566	0.18604069	chr11	17371008	17455025	84018	-	20766
NM_000358	0.14590266	0.15028286	0.15578803	0.14709694	0.00495636	0.00529228	0.00472793	0.00492761	chr5	135392483	135427406	34924	+	9534
NM_000359	0.00762297	0.00671969	0.00796862	0.00912564	0.01151102	0.01168761	0.01276366	0.01272645	chr14	23788160	23802256	14097	-	25384
NM_000372	2.64967194	2.64210984	2.66730377	2.68513873	0.00040849	0.0004393	0.00060763	0.00040849	chr11	88550688	88668575	117888	+	21011
NM_000384	9.41325101	9.65784477	9.61048518	9.42201733	0.00307614	0.0038138	0.0035409	0.0035004	chr2	21077806	21120450	42645	-	3868
NM_000392	0.42227427	0.40862746	0.43314939	0.42902462	0.00188185	0.00299664	0.00344682	0.00228505	chr10	101532453	101601652	69200	+	19627
NM_000402	1.74272048	1.82320484	1.78444916	1.79217715	0.48225858	0.47891484	0.47445614	0.47875183	chrX	153412800	153428427	15628	-	18814
NM_000412	0.00144126	0.00128395	0.00112912	0.0010051	0.00070734	0.00061407	0.00078868	0.00071456	chr3	187866492	187878717	12226	+	7750
NM_000431	0.2372197	0.23068429	0.23257166	0.23887119	0.16047668	0.18377828	0.15305819	0.16166383	chr12	108495883	108519454	23572	+	24336
NM_000450	0.00064468	0.00081503	0.00066633	0.00088877	0.00512828	0.00471529	0.00563277	0.00422915	chr1	167958405	167969844	11440	-	3071
NM_000452	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	chr13	102494349	102517197	22849	-	24783
NM_000454	2.09900407	2.18194362	2.42977862	2.25612186	3.23359194	3.00943916	3.39190234	3.18216215	chr21	31953806	31963114	9309	+	35187
NM_000461	0.07478059	0.0711417	0.06776359	0.07316064	0.57225735	0.6214786	0.58996898	0.58394249	chr3	24133649	24511317	377669	-	6090
NM_000465	0.17302268	0.1668673	0.16838485	0.17787653	0.02545526	0.02564031	0.02290544	0.02461116	chr2	215301520	215382673	81154	-	4453
NM_000466	0.13095837	0.13421371	0.13095844	0.13560408	0.11281304	0.11642857	0.1147647	0.11745406	chr7	91954273	91995781	41509	-	13360
NM_000481	0.02618061	0.02811005	0.02470128	0.02407778	0.04375844	0.04576626	0.04113804	0.03908016	chr3	49429215	49435115	5901	-	7000
NM_000499	0.00861214	0.00874614	0.00827311	0.00819414	0.00243313	0.00173906	0.00173305	0.00097282	chr15	72798936	72804930	5995	-	27290
NM_000505	0.00566978	0.00512257	0.00486789	0.00441157	0.00032397	0.00032397	0.00032397	0.00032397	chr5	176761745	176769183	7439	-	10608
NM_000523	0.02977663	0.03323489	0.03412973	0.03192186	0.00047418	0.00047418	0.00047418	0.00047418	chr2	176665778	176668912	3135	+	5437
NM_000527	0.45767968	0.43440529	0.43654614	0.43951591	0.13169844	0.13359427	0.12537061	0.13099651	chr19	11061038	11105505	44468	+	32256
NM_000546	2.4621278	2.47183999	2.59083135	2.62889672	0.22285458	0.23861371	0.24224733	0.22047575	chr17	7512445	7531588	19144	-	29310
NM_000552	0.01425679	0.01631712	0.01304579	0.01422604	0.71578133	0.71637755	0.71605743	0.68368477	chr12	5928301	6104097	175797	-	22895
NM_000553	0.13629725	0.13133613	0.13967839	0.14591245	0.03754012	0.03740715	0.0380564	0.03717599	chr8	31010320	31150819	140500	+	14399
NM_000567	0.00042771	0.00042771	0.00042771	0.00042771	0.00040252	0.00053557	0.00037595	0.00032397	chr1	157948703	157951003	2301	-	2895
NM_000574	1.234896	1.32509476	1.31530151	1.27024651	0.10887709	0.10305162	0.12282173	0.11545196	chr1	205561440	205600934	39495	+	3383
NM_000576	0.02257692	0.02434007	0.02843376	0.02812418	0.06444564	0.06976982	0.07286017	0.06510555	chr2	113303808	113310827	7020	-	5193
NM_000584	0.58425713	0.57423753	0.5790034	0.59458097	0.01653174	0.01430209	0.01689106	0.0150981	chr4	74825139	74828297	3159	+	8733
NM_000593	0.43355865	0.43406712	0.45165899	0.45898373	0.33875514	0.32049921	0.32201863	0.32220058	chr6	32920964	32929726	8763	-	11338
NM_000593	0.43355865	0.43406712	0.45165899	0.45898373	0.33875514	0.32049921	0.32201863	0.32220058	chr6_qbl_hap2	3999040	4007802	8763	-	37004
NM_000593	0.43355865	0.43406712	0.45165899	0.45898373	0.33875514	0.32049921	0.32201863	0.32220058	chr6_cox_hap1	4193841	4202603	8763	-	36699
NM_000595	0.00183851	0.00201089	0.00171847	0.00171758	0.00481335	0.00351005	0.00498553	0.00396899	chr6_cox_hap1	2986216	2988221	2006	+	36570
NM_000595	0.00183851	0.00201089	0.00171847	0.00171758	0.00481335	0.00351005	0.00498553	0.00396899	chr6_qbl_hap2	2787676	2789683	2008	+	36881
NM_000595	0.00183851	0.00201089	0.00171847	0.00171758	0.00481335	0.00351005	0.00498553	0.00396899	chr6	31648072	31650077	2006	+	11201
NM_000597	0.96611579	1.05683804	1.03243324	1.07777413	0.04792009	0.04723537	0.05213557	0.04937264	chr2	217206372	217237403	31032	+	5612
NM_000599	0.72696883	0.73994286	0.75344008	0.78220692	0.2799597	0.27749511	0.2863834	0.27403606	chr2	217245073	217268517	23445	-	5613
NM_000600	0.00728343	0.00749243	0.00779017	0.00894481	0.00308305	0.00306985	0.00324718	0.00322441	chr7	22733291	22738146	4856	+	12724
NM_000612	10.11615815	10.2622241	10.61990173	10.4976012	0.08187771	0.08431036	0.08630058	0.08295579	chr11	2106923	2116780	9858	-	21247
NM_000676	0.12288995	0.11501746	0.11053737	0.10883304	0.05665349	0.05730263	0.05659586	0.05648014	chr17	15788956	15819935	30980	+	29443
NM_000684	0.04251432	0.04402941	0.04871422	0.04818823	0.36014483	0.36138575	0.35421346	0.35636281	chr10	115793796	115796657	2862	+	20503
NM_000700	0.50531509	0.50289955	0.51736082	0.50421632	0.05437522	0.05389041	0.05575237	0.05370293	chr9	74956601	74975127	18527	+	15718
NM_000702	0.08203183	0.08665284	0.09104163	0.08946296	6.12173229	6.14514744	6.00600375	6.16293983	chr1	158352144	158379998	27855	+	2912
NM_000727	0.00051	0.00054468	0.00051863	0.00051	0.00130819	0.00177713	0.00112049	0.00122652	chr17	62471114	62483373	12260	+	30625
NM_000732	0.80426045	0.77463096	0.77206101	0.74497087	0.00187455	0.0013931	0.00085164	0.00098464	chr11	117714999	117718669	3671	-	22574
NM_000733	0.60916751	0.59870014	0.59754395	0.61570159	0.00225712	0.00287541	0.0026083	0.00287332	chr11	117680505	117692100	11596	+	22570
NM_000735	0.86530093	0.80928925	0.84127329	0.836429	0.00074181	0.00117386	0.00052332	0.00044358	chr6	87851941	87861543	9603	-	11878
NM_000744	0.00353225	0.00540629	0.00463024	0.0038707	0.14571135	0.14426526	0.15270535	0.14729581	chr20	61445109	61463139	18031	-	34895
NM_000756	0.00042771	0.00042771	0.00042771	0.00042771	0.01149771	0.01157375	0.01223797	0.0136425	chr8	67251166	67253400	2235	-	15107
NM_000761	0.00046256	0.00043538	0.00042771	0.000738	0.00032397	0.00032397	0.00032397	0.00032397	chr15	72828237	72835994	7758	+	27289
NM_000765	0.00237547	0.00212152	0.00249228	0.00185447	0.00032397	0.00032397	0.00032397	0.00032397	chr7	99140596	99170755	30160	-	13489
NM_000766	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	chr19	46286208	46293939	7732	+	32925
NM_000767	0.00042771	0.00042771	0.00074602	0.00042771	0.00058518	0.00045026	0.00059613	0.00048846	chr19	46189044	46216141	27098	+	32923
NM_000771	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	chr10	96688405	96739138	50734	+	19601
NM_000774	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	chr19	46312193	46326121	13929	+	32924
NM_000775	0.02309653	0.02424148	0.02119566	0.02096841	0.23123836	0.24186966	0.23754593	0.2467535	chr1	60131568	60165011	33444	-	444
NM_000777	0.00130528	0.00131685	0.00152049	0.00133229	0.00032397	0.00032397	0.00032397	0.00032397	chr7	99083749	99115557	31809	-	13481
NM_000778	0.00042771	0.00042771	0.00042771	0.00042771	0.00254646	0.00245239	0.00253857	0.00229145	chr1	47167433	47179743	12311	-	1918
NM_000798	0.04861309	0.05284677	0.05113466	0.05155297	0.0411828	0.03864154	0.03209175	0.04071967	chr4	9392356	9394731	2376	+	8535
NM_000799	0.00485981	0.00373978	0.00424626	0.00365528	0.00032397	0.00032397	0.00032397	0.00032397	chr7	100156359	100159259	2901	+	13560
NM_000806	0.00363366	0.00401836	0.00419405	0.00343413	1.14717294	1.20622651	1.11640478	1.16985614	chr5	161206775	161259543	52769	+	9669
NM_000809	0.0015129	0.00139256	0.00140584	0.00185087	0.29699834	0.28772707	0.30615254	0.30836678	chr4	46615674	46690337	74664	-	8069
NM_000811	0.0032231	0.0032527	0.00336473	0.00373932	0.85288571	0.88190271	0.8652126	0.88316702	chr5	161045236	161062176	16941	+	10520
NM_000815	0.00855542	0.0075547	0.00679584	0.00865854	1.22986304	1.25731347	1.2493615	1.24539631	chr1	1940628	1952052	11425	+	1107
NM_000826	0.00638798	0.00687114	0.00634439	0.00599629	1.59624719	1.64602271	1.66993573	1.62337502	chr4	158361186	158506676	145491	+	8343
NM_000838	0.00286009	0.0038054	0.00419713	0.00316714	0.48574727	0.49386972	0.5157503	0.48484662	chr6	146390475	146800424	409950	+	12316
NM_000840	0.00184603	0.00169755	0.00114283	0.00179769	0.4088892	0.42291967	0.42871764	0.40003145	chr7	86111166	86332128	220963	+	13300
NM_000852	11.66712475	11.66655867	11.86759194	11.64729409	3.45296918	3.65384997	3.55789708	3.51711461	chr11	67107642	67110700	3059	+	20634
NM_000853	0.05619714	0.06240622	0.05817699	0.05539625	0.05403609	0.05837237	0.05454679	0.05303065	chr22	22706139	22714284	8146	-	35607
NM_000876	0.31341352	0.31484778	0.33192683	0.34916204	0.08359844	0.08233868	0.09049529	0.08974874	chr6	160310121	160447573	137453	+	12435
NM_000877	0.06886305	0.07603884	0.07131545	0.0709501	0.03645459	0.03739638	0.03407571	0.03726523	chr2	102136834	102162766	25933	+	5134
NM_000889	7.54703467	7.52633237	7.68370362	7.42628283	0.00734662	0.00781469	0.00968287	0.00716633	chr12	51871374	51887267	15894	-	23871
NM_000893	0.03537066	0.03620091	0.0280847	0.03318089	0.00488307	0.00587452	0.00643193	0.00632122	chr3	187917792	187944893	27102	+	7754
NM_000904	0.52795871	0.56210777	0.55350423	0.54017115	0.42833265	0.41143118	0.4332004	0.43673705	chr6	2945066	2964993	19928	+	10735
NM_000918	8.24295893	8.25589674	8.16835822	8.1166027	1.08210588	1.06078014	1.09849853	1.15304407	chr17_random	2360338	2377942	17605	-	36336
NM_000918	8.24295893	8.25589674	8.16835822	8.1166027	1.08210588	1.06078014	1.09849853	1.15304407	chr17	77394323	77411833	17511	-	30942
NM_000927	0.03315072	0.03281362	0.03071299	0.03328075	0.14404127	0.14107303	0.14636553	0.14097754	chr7	86971115	87180575	209461	-	13317
NM_000936	0.00050608	0.00050608	0.00050608	0.00050608	0.0011061	0.00048019	0.0005738	0.00071154	chr10	118295418	118317357	21940	+	20510
NM_000937	1.00560813	0.93198152	1.05098331	1.01523855	1.07452217	0.96616944	0.99108315	0.97189921	chr17	7328422	7358659	30238	+	29280
NM_000939	0.00187176	0.00167889	0.00368632	0.00167483	0.00058913	0.00096419	0.00137363	0.00047983	chr2	25237226	25245063	7838	-	4633
NM_000943	0.45135925	0.45572133	0.47622685	0.46343799	0.07131745	0.07008808	0.08281837	0.07189933	chr5	122386977	122400324	13348	-	10144
NM_000944	0.31062463	0.30704417	0.27642577	0.29234206	3.34321516	3.17660676	3.21575649	3.23298736	chr4	102163610	102487651	324042	-	8192
NM_000949	0.00673385	0.00640701	0.00770573	0.0073527	0.00413581	0.00377048	0.00473977	0.00393335	chr5	35091559	35266551	174993	-	9322
NM_000963	0.02921118	0.02861191	0.02673982	0.02894079	0.00913604	0.00917747	0.00881591	0.00870622	chr1	184907567	184916182	8616	-	3199
NM_000964	0.54446564	0.5509253	0.5856489	0.58458956	0.34331568	0.26143422	0.26523643	0.27058949	chr17	35718949	35767421	48473	+	29940
NM_001001503	0.33168838	0.34080575	0.3631898	0.35756897	0.29922327	0.33634838	0.32453231	0.32802891	chr21	43186447	43202842	16396	+	35319
NM_001001998	0.35958878	0.36811576	0.3712584	0.3742683	0.22673551	0.22015135	0.21279514	0.22564945	chr1	11049263	11082525	33263	-	1221
NM_001003694	0.31461878	0.33349732	0.32083194	0.3373428	0.30908991	0.30498605	0.28872838	0.30965093	chr3	9748434	9764699	16266	+	6626
NM_001003954	0.0006986	0.00072542	0.00057812	0.00094366	0.0006401	0.0013247	0.00149611	0.00144557	chr8	124762215	124818828	56614	-	14289
NM_001005476	0.03864793	0.0371548	0.0407869	0.04058403	0.10104783	0.10042648	0.11491801	0.10909587	chr2	159021722	159246186	224465	+	4252
NM_001005505	0.04904431	0.04887634	0.05638704	0.04883158	0.2839583	0.28773698	0.29949759	0.30133522	chr3	50375235	50515896	140662	-	6195
NM_001005743	0.54020357	0.59218806	0.5319742	0.55503682	0.58964478	0.57736033	0.55428929	0.57287528	chr14	72811671	72995039	183369	-	25795
NM_001005753	0.44260326	0.44100214	0.46358321	0.44365301	1.14861299	1.19266697	1.12127446	1.1828875	chr2	86584064	86644131	60068	-	4087
NM_001007156	0.00208821	0.00197291	0.00179432	0.00185944	0.39254037	0.44628405	0.43527614	0.44906988	chr15	86321599	86600665	279067	-	26681
NM_001007565	0.79744612	0.7756436	0.80782833	0.79638506	0.39489205	0.4089583	0.41071421	0.41660108	chr3	101910824	101950500	39677	+	7249
NM_001008211	0.51703411	0.51984955	0.54810375	0.54452841	1.9030822	1.89885161	2.07995242	1.95205108	chr10	13182088	13220282	38195	+	19840
NM_001008272	0.03934698	0.04399514	0.04175239	0.04045059	4.88678339	5.20068373	5.12312853	4.88301662	chr3	113200276	113215425	15150	+	7279
NM_001008491	2.77754315	2.83307881	2.94090874	2.91377043	2.20588996	2.29859484	2.27912036	2.33110102	chr2	241903396	241942114	38719	+	5844
NM_001008566	0.0210736	0.02355988	0.02440877	0.02577947	0.01905491	0.02099958	0.02171389	0.0207505	chr22	25251714	25291370	39657	-	35662
NM_001008660	0.71735107	0.70635203	0.70495639	0.72912153	1.00195176	0.97045551	0.98441865	0.95865843	chr11	85346133	85457756	111624	-	22362
NM_001008699	0.19219156	0.20175846	0.20343405	0.20258784	0.09371078	0.09325996	0.0960657	0.09618707	chr16	27232752	27274033	41282	+	27566
NM_001008895	1.09027646	1.13579597	0.99145258	1.15375729	0.42055306	0.42990653	0.45080646	0.43466305	chr13	112911932	112967393	55462	+	25143
NM_001012271	1.64144215	1.62975569	1.65415261	1.63962476	0.00306889	0.00437614	0.00446805	0.0033114	chr17	73721872	73733311	11440	+	30856
NM_001015508	0.02442701	0.02510866	0.02641171	0.02600068	0.20767259	0.22013125	0.21855731	0.21863545	chr8	30972863	31010773	37911	-	14970
NM_001017364	0.1292755	0.13071437	0.12062229	0.12894009	0.00048939	0.00048939	0.00048939	0.00048939	chr1	205329207	205339960	10754	+	3377
NM_001023587	0.03476038	0.04059081	0.03775462	0.03469478	0.12360742	0.14590995	0.13461814	0.14258247	chr3	185184235	185218421	34187	-	6540
NM_001024660	0.00614682	0.00528343	0.00520925	0.00489088	0.32607339	0.33469996	0.32594794	0.34177692	chr3	125296248	125922726	626479	+	5872
NM_001024847	0.80435994	0.81984315	0.7841477	0.76935004	0.30136731	0.33969096	0.32908695	0.33951568	chr3	30622998	30710637	87640	+	6098
NM_001024940	0.0207135	0.01986274	0.0192931	0.01929758	0.19918937	0.19663881	0.19569693	0.19401759	chr1	226662259	226671206	8948	-	3523
NM_001025253	0.26999389	0.28191598	0.28421386	0.27874286	0.49189694	0.48691495	0.49772666	0.54128809	chr8	81109660	81246391	136732	-	14546
NM_001025930	0.24070602	0.24486839	0.24279194	0.22438143	0.15380258	0.1478554	0.15571748	0.15111629	chr3	9826644	9853040	26397	+	6031
NM_001031690	0.00955701	0.01092977	0.00950956	0.00947905	0.50008643	0.49151789	0.49348757	0.48516282	chr7	142760615	142769962	9348	-	14040
NM_001031692	0.05654986	0.05824716	0.0636701	0.05832521	0.00629107	0.00620339	0.00739922	0.0077137	chr7	102340580	102372792	32213	+	13620
NM_001031717	0.07785915	0.07658979	0.07749368	0.06978891	0.20235145	0.21301834	0.20960731	0.20449451	chr3	9950525	9962097	11573	+	6029
NM_001042	0.04293604	0.03915045	0.03845784	0.03787261	0.00040849	0.03691206	0.02964681	0.03216753	chr17	7125778	7132091	6314	+	29254
NM_001046	0.17942866	0.17970797	0.20456236	0.21150623	0.52143577	0.54928138	0.59096414	0.54246465	chr5	127447382	127553279	105898	+	9506
NM_001047	0.30359652	0.31426146	0.31549651	0.30429382	0.30919027	0.31835539	0.33065012	0.29720021	chr5	6686500	6722675	36176	+	9755
NM_001071	0.99682197	1.04637012	1.04941051	1.05141474	0.03653729	0.03594913	0.03884212	0.03953711	chr18	647604	663499	15896	+	31062
NM_001078	0.03671154	0.03773274	0.04039899	0.03782077	0.02342093	0.02234981	0.02332212	0.02346899	chr1	100957784	100977189	19406	+	2183
NM_001103	0.00444639	0.00751884	0.00671611	0.00837113	0.17360647	0.17749926	0.16756303	0.1475283	chr1	234916393	234994181	77789	+	3576
NM_001115	0.04809337	0.04615113	0.05218452	0.04418815	0.18889737	0.19036416	0.19007787	0.19604204	chr8	131861729	132122017	260289	-	14295
NM_001117	0.00099273	0.00142806	0.00136125	0.00182318	0.09293474	0.09424118	0.09803816	0.09086092	chr18	895297	902173	6877	+	31250
NM_001124	0.6191162	0.58836981	0.59270511	0.59868031	0.09231513	0.08873868	0.08961696	0.09507832	chr11	10283218	10285499	2282	+	21435
NM_001125	0.02024638	0.02273734	0.02099883	0.02089394	0.02567638	0.02623848	0.02691682	0.02644342	chr3	120781213	120791482	10270	+	7319
NM_001134	5.7027925	5.67005559	5.72229736	5.86954055	0.00044358	0.00044937	0.00044358	0.00044358	chr4	74520797	74540356	19560	+	8729
NM_001139	0.00709265	0.00705218	0.00736306	0.00706059	0.00079758	0.00086427	0.00059862	0.00048939	chr17	7916679	7931746	15068	-	29343
NM_001140	0.00322372	0.00589172	0.00463465	0.00485723	0.00048939	0.00048939	0.00048939	0.00048939	chr17	4480963	4491709	10747	-	29118
NM_001147	0.00051	0.0007489	0.0009309	0.0006683	0.04295325	0.04070733	0.03800353	0.04282309	chr8	6344581	6408192	63612	-	14716
NM_001151	0.60615322	0.63363328	0.64165189	0.63960488	3.15351163	3.31838924	3.23968396	3.29995539	chr4	186301411	186308532	7122	+	9110
NM_001154	6.82437434	6.73497045	7.27109012	7.09781044	1.19272062	1.18155176	1.15773265	1.1770362	chr4	122808602	122837597	28996	-	8279
NM_001159	0.10369717	0.1053762	0.10018661	0.09172478	0.0183698	0.01894998	0.01749732	0.01594286	chr2	201158976	201244462	85487	+	4384
NM_001166	0.45202802	0.44167738	0.44460903	0.44523511	0.24731807	0.24964199	0.25009684	0.24806539	chr11	101723176	101754611	31436	+	22420
NM_001171	0.03331399	0.03236783	0.03436112	0.03167065	0.00224955	0.00157925	0.00195832	0.00195843	chr16	16150923	16224829	73907	-	28209
NM_001175	1.37651146	1.3255909	1.31318785	1.43382686	0.20494874	0.21379926	0.21212706	0.20994978	chr12	14986217	15005829	19613	-	23632
NM_001183	0.23903908	0.24649729	0.24213936	0.24178333	0.46252345	0.4657263	0.43112314	0.44845206	chrX	153310172	153318056	7885	+	18799
NM_001201	0.00051	0.00051	0.00051	0.00051	0.00681434	0.00738854	0.00659927	0.00745643	chr4	82171143	82197709	26567	+	8139
NM_001214	0.09707127	0.10127128	0.09934786	0.10130382	0.05755742	0.05845365	0.06017852	0.05733381	chr16	88622817	88623810	994	-	28968
NM_001237	0.21316956	0.21824485	0.24995792	0.22817206	0.00060847	0.00058783	0.00063694	0.00077657	chr4	122957049	122964538	7490	-	8926
NM_001244	0.00037878	0.00037878	0.00037878	0.00037878	0.00303118	0.00324034	0.00304918	0.00314208	chr9	116704945	116732591	27647	-	16542
NM_001251	0.75629229	0.75688714	0.76463958	0.76415128	0.21138122	0.2039529	0.22127784	0.20742852	chr17	7423529	7426153	2625	+	29295
NM_001260	0.18342529	0.16894815	0.17785145	0.18106003	0.18407722	0.16765076	0.17646343	0.17125252	chr13	25726756	25876569	149814	+	24645
NM_001261	0.54597563	0.51663776	0.53656992	0.54543108	0.64702597	0.65638999	0.6186357	0.65383264	chr9	129588126	129592873	4748	+	16638
NM_001267	0.00294285	0.00408483	0.00326001	0.00372848	0.37807167	0.37845996	0.36648806	0.37853765	chr17	45896852	45901226	4375	-	30372
NM_001274	0.07559499	0.07747717	0.07411751	0.07730622	0.0025519	0.00181218	0.00177934	0.00209703	chr11	125001522	125030850	29329	+	22700
NM_001275	0.01136322	0.01094935	0.00911989	0.01178783	2.97024928	2.93915533	2.89921902	2.90537916	chr14	92459198	92471393	12196	+	26006
