chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chr10	822092	822232	141	10	80	0.567	0.902
chr10	835159	835351	193	16	103	0.534	1.19
chr10	846322	846599	278	16	166	0.597	0.657
chr10	847190	847314	125	8	74	0.592	0.758
chr10	859572	859711	140	7	82	0.586	0.638
chr10	889489	890234	746	43	401	0.538	0.807
chr10	892776	893152	377	22	222	0.589	0.689
chr10	898620	898862	243	11	129	0.531	0.741
chr10	909384	910145	762	51	430	0.564	0.841
chr10	912332	912897	566	22	296	0.523	0.59
chr10	919500	919601	102	8	57	0.559	1.012
chr10	920136	920649	514	25	283	0.551	0.642
chr10	920930	921578	649	27	349	0.538	0.586
chr10	922560	922711	152	14	79	0.52	1.364
chr10	935137	935371	235	13	138	0.587	0.642
chr10	935506	935581	76	7	47	0.618	0.967
chr10	936905	937151	247	17	152	0.615	0.729
chr10	937829	938944	1116	79	682	0.611	0.764
chr10	939076	939583	508	56	356	0.701	0.906
chr10	940579	941408	830	85	555	0.669	0.919
chr10	944804	945442	639	43	384	0.601	0.754
chr10	945715	945931	217	12	123	0.567	0.696
chr10	951391	951823	433	22	238	0.55	0.673
chr10	952530	952829	300	22	192	0.64	0.724
chr10	953220	954011	792	95	572	0.722	0.92
chr10	955121	955294	174	23	130	0.747	1.008
chr10	956214	956658	445	29	273	0.613	0.697
chr10	958705	958987	283	19	178	0.629	0.683
chr10	968902	969108	207	12	121	0.585	0.684
chr10	970096	970288	193	16	124	0.642	0.835
chr10	971519	972287	769	96	550	0.715	0.977
chr10	973108	973537	430	57	307	0.714	1.044
chr10	978467	978754	288	20	181	0.628	0.711
chr10	980617	980820	204	16	133	0.652	0.748
chr10	981583	982255	673	48	445	0.661	0.653
chr10	982479	983027	549	34	337	0.614	0.66
chr10	983280	983393	114	10	81	0.711	0.878
chr10	983791	983998	208	15	121	0.582	0.904
chr10	984153	984574	422	28	246	0.583	0.786
chr10	984987	985538	552	30	342	0.62	0.569
chr10	986274	988128	1855	123	1177	0.635	0.66
chr10	989829	991423	1595	113	1018	0.638	0.696
chr10	991647	991959	313	22	201	0.642	0.686
chr10	992787	993282	496	87	394	0.794	1.14
chr10	993453	993819	367	50	266	0.725	1.051
chr10	993967	994074	108	13	89	0.824	0.724
chr10	1003578	1004012	435	62	339	0.779	0.96
chr10	1012048	1012668	621	100	471	0.758	1.159
chr10	1013440	1014033	594	70	398	0.67	1.053
chr10	1061843	1062016	174	8	93	0.534	0.644
chr10	1062383	1063047	665	74	457	0.687	0.943
chr10	1071644	1071947	304	16	154	0.507	0.834
chr10	1110886	1112031	1146	126	809	0.706	0.883
chr10	1210135	1210908	774	95	569	0.735	0.955
chr10	1369434	1369503	70	6	34	0.486	1.458
chr10	1409184	1409417	234	20	162	0.692	0.818
chr10	1497648	1497966	319	29	219	0.687	0.773
chr10	1498387	1498521	135	11	87	0.644	0.786
chr10	1498761	1499562	802	61	488	0.608	0.823
chr10	1544932	1545393	462	56	329	0.712	0.957
chr10	1562075	1562318	244	16	137	0.561	0.836
chr10	1608517	1609130	614	79	470	0.765	0.881
chr10	1611745	1611902	158	11	84	0.532	0.999
chr10	1627210	1627641	432	48	274	0.634	1.106
chr10	1632757	1633133	377	19	205	0.544	0.692
chr10	1639136	1639538	403	20	223	0.553	0.654
chr10	1651984	1652668	685	69	454	0.663	0.919
chr10	1655049	1655445	397	30	252	0.635	0.751
chr10	1659656	1659901	246	25	186	0.756	0.713
chr10	1661407	1661585	179	26	153	0.855	0.811
chr10	1661910	1662333	424	23	254	0.599	0.612
chr10	1708111	1708543	433	22	255	0.589	0.587
chr10	1712866	1713087	222	13	137	0.617	0.616
chr10	1713396	1714163	768	47	463	0.603	0.675
chr10	1721534	1721797	264	29	185	0.701	0.897
chr10	1731263	1731822	560	63	384	0.686	0.957
chr10	1761443	1761986	544	50	366	0.673	0.814
chr10	1765368	1765494	127	7	68	0.535	0.769
chr10	1765904	1766196	293	17	182	0.621	0.616
chr10	1766408	1766846	439	67	335	0.763	1.084
chr10	1774916	1775797	882	104	612	0.694	0.982
chr10	1783696	1784286	591	60	430	0.728	0.773
chr10	1784881	1785072	192	13	128	0.667	0.612
chr10	1786240	1786780	541	33	356	0.658	0.581
chr10	1786984	1787509	526	37	348	0.662	0.665
chr10	1788411	1789102	692	50	416	0.601	0.8
chr10	1791313	1791563	251	17	138	0.55	0.929
chr10	1794774	1795100	327	22	194	0.593	0.77
chr10	1797591	1800190	2600	187	1679	0.646	0.691
chr10	1800321	1800674	354	23	218	0.616	0.686
chr10	1802805	1803468	664	58	435	0.655	0.815
chr10	1809904	1810526	623	47	394	0.632	0.766
chr10	1811760	1811946	187	17	128	0.684	0.786
chr10	1820747	1821726	980	52	587	0.599	0.592
chr10	1822212	1823474	1263	101	841	0.666	0.721
chr10	1825397	1825906	510	28	322	0.631	0.552
chr10	1826614	1827426	813	92	581	0.715	0.89
chr10	1858372	1858733	362	21	188	0.519	0.861
chr10	1860315	1860918	604	42	346	0.573	0.853
chr10	1861348	1862398	1051	81	660	0.628	0.794
chr10	1863345	1863800	456	38	294	0.645	0.812
chr10	1865639	1866063	425	27	273	0.642	0.619
chr10	1867528	1867659	132	10	81	0.614	0.811
chr10	1867931	1868274	344	16	193	0.561	0.592
chr10	1869873	1870189	317	17	188	0.593	0.611
chr10	1871936	1872191	256	11	125	0.488	0.721
chr10	1872442	1872541	100	6	59	0.59	0.769
chr10	1884365	1884561	197	11	117	0.594	0.633
chr10	1889711	1890253	543	48	351	0.646	0.848
chr10	1891079	1891551	473	55	333	0.704	0.946
chr10	1894130	1894825	696	71	469	0.674	0.899
chr10	1936512	1936914	403	27	256	0.635	0.67
chr10	1937040	1937293	254	22	179	0.705	0.709
chr10	1940070	1940226	157	13	100	0.637	0.817
chr10	3446927	3447152	226	12	134	0.593	0.611
chr10	3447518	3447602	85	7	55	0.647	0.833
chr10	3447814	3447967	154	10	77	0.5	1.106
chr10	3448720	3448864	145	10	87	0.6	0.784
chr10	3464374	3464638	265	26	161	0.608	1.068
chr10	3469462	3470299	838	67	560	0.668	0.719
chr10	3472381	3472811	431	28	267	0.619	0.712
chr10	3476817	3477911	1095	92	756	0.69	0.72
chr10	3478442	3478607	166	17	125	0.753	0.912
chr10	3481856	3482479	624	36	417	0.668	0.528
chr10	3483851	3484007	157	15	109	0.694	0.796
chr10	3484776	3485393	618	51	418	0.676	0.804
chr10	3496392	3496781	390	33	276	0.708	0.676
chr10	3498660	3498784	125	10	84	0.672	0.784
chr10	3499298	3500105	808	91	557	0.689	0.963
chr10	3500767	3501359	593	46	411	0.693	0.648
chr10	3502312	3502887	576	68	411	0.714	0.928
chr10	3531917	3532065	149	9	74	0.497	0.986
chr10	3545363	3545614	252	36	188	0.746	1.027
chr10	3545819	3546402	584	47	373	0.639	0.798
chr10	3546863	3547135	273	22	185	0.678	0.702
chr10	3547537	3547841	305	14	180	0.59	0.532
chr10	3548019	3548366	348	24	238	0.684	0.59
chr10	3548874	3549055	182	12	121	0.665	0.598
chr10	3550072	3550380	309	31	206	0.667	0.905
chr10	3550571	3551403	833	88	599	0.719	0.825
chr10	3552902	3553083	182	18	127	0.698	0.819
chr10	3554820	3554901	82	8	46	0.561	1.24
chr10	3563104	3563742	639	87	483	0.756	0.977
chr10	3565077	3565361	285	22	188	0.66	0.71
chr10	3566356	3567378	1023	65	636	0.622	0.658
chr10	3567754	3567937	184	16	120	0.652	0.872
chr10	3570290	3571103	814	50	535	0.657	0.575
chr10	3573392	3573662	271	21	178	0.657	0.721
chr10	3574642	3574922	281	20	192	0.683	0.61
chr10	3577144	3577404	261	16	160	0.613	0.659
chr10	3578542	3578827	286	16	170	0.594	0.637
chr10	3579167	3579450	284	15	159	0.56	0.677
chr10	3581097	3581488	392	34	277	0.707	0.696
chr10	3583455	3583698	244	14	159	0.652	0.547
chr10	3584272	3584441	170	13	116	0.682	0.677
chr10	3588569	3589264	696	43	445	0.639	0.605
chr10	3590104	3590850	747	70	492	0.659	0.868
chr10	3592415	3592550	136	11	97	0.713	0.667
chr10	3598604	3598940	337	18	202	0.599	0.598
chr10	3599671	3599992	322	20	221	0.686	0.531
chr10	3600229	3601627	1399	86	844	0.603	0.686
chr10	3621189	3621355	167	10	97	0.581	0.719
chr10	3626223	3626455	233	14	149	0.639	0.614
chr10	3629090	3629390	301	18	187	0.621	0.629
chr10	3629653	3629950	298	21	190	0.638	0.714
chr10	3633316	3633665	350	23	208	0.594	0.75
chr10	3638751	3638940	190	27	138	0.726	1.117
chr10	3639074	3639631	558	51	373	0.668	0.828
chr10	3640950	3641169	220	13	116	0.527	0.863
chr10	3641425	3641946	522	31	321	0.615	0.629
chr10	3659267	3659659	393	18	215	0.547	0.612
chr10	3661440	3661821	382	21	213	0.558	0.734
chr10	3672735	3674055	1321	113	876	0.663	0.783
chr10	3674196	3674689	494	39	333	0.674	0.695
chr10	3683138	3684142	1005	85	655	0.652	0.805
chr10	3684862	3685265	404	22	237	0.587	0.633
chr10	3689010	3689517	508	37	343	0.675	0.639
chr10	3692506	3693326	821	56	493	0.6	0.78
chr10	3733855	3734135	281	15	162	0.577	0.65
chr10	3746401	3746908	508	30	297	0.585	0.691
chr10	3755733	3756393	661	33	386	0.584	0.586
chr10	3902852	3903696	845	116	611	0.723	1.053
chr10	3925024	3925793	770	109	565	0.734	1.052
chr10	3937191	3937533	343	21	209	0.609	0.686
chr10	3937730	3938264	535	26	287	0.536	0.731
chr10	3945534	3945857	324	19	195	0.602	0.672
chr10	3946060	3946594	535	26	288	0.538	0.727
chr10	3956276	3956497	222	11	115	0.518	0.824
chr10	3979649	3979787	139	9	74	0.532	0.931
chr10	3997974	3998385	412	25	224	0.544	0.822
chr10	3998708	3998879	172	7	84	0.488	0.816
chr10	4000423	4001116	694	40	377	0.543	0.79
chr10	4008711	4009053	343	19	177	0.516	0.832
chr10	4049586	4050368	783	68	490	0.626	0.896
chr10	4103514	4103624	111	10	75	0.676	0.822
chr10	4144316	4145390	1075	160	801	0.745	1.075
chr10	4164660	4164767	108	11	66	0.611	1.095
chr10	4262641	4262873	233	11	119	0.511	0.777
chr10	4272049	4272203	155	9	93	0.6	0.645
chr10	4282636	4282862	227	11	124	0.546	0.658
chr10	4284622	4284702	81	9	56	0.691	0.949
chr10	4285146	4285320	175	14	112	0.64	0.833
chr10	4287344	4287666	323	32	221	0.684	0.849
chr10	4290262	4290479	218	29	163	0.748	0.958
chr10	4290619	4290871	253	17	130	0.514	1.294
chr10	4293055	4294443	1389	144	946	0.681	0.896
chr10	4295510	4295903	394	22	254	0.645	0.541
chr10	4298583	4299350	768	114	571	0.743	1.085
chr10	4406495	4407120	626	92	454	0.725	1.153
chr10	4407825	4408097	273	32	178	0.652	1.108
chr10	4439797	4440175	379	51	272	0.718	1.058
chr10	4440599	4441049	451	75	339	0.752	1.18
chr10	4477083	4477977	895	85	563	0.629	0.985
chr10	4478691	4478924	234	40	189	0.808	1.117
chr10	4485891	4486011	121	20	91	0.752	1.172
chr10	4565059	4565656	598	68	405	0.677	1.004
chr10	4582772	4583025	254	35	198	0.78	0.928
chr10	4584047	4584291	245	32	192	0.784	0.858
chr10	4584582	4584784	203	10	121	0.596	0.566
chr10	4584898	4585019	122	6	71	0.582	0.581
chr10	4593637	4594810	1174	150	840	0.716	1.012
chr10	4598766	4599631	866	92	599	0.692	0.889
chr10	4623970	4624360	391	56	289	0.739	1.049
chr10	4652340	4653441	1102	118	799	0.725	0.818
chr10	4671496	4672164	669	82	459	0.686	1.057
chr10	4685283	4686446	1164	134	796	0.684	0.985
chr10	4731106	4731544	439	55	302	0.688	1.06
chr10	4732706	4733890	1185	136	772	0.651	1.094
chr10	4767807	4767998	192	19	123	0.641	1.013
chr10	4779247	4780434	1188	144	845	0.711	0.96
chr10	4814136	4814609	474	59	336	0.709	0.999
chr10	4877654	4877803	150	31	126	0.84	1.176
chr10	4878465	4879106	642	91	487	0.759	0.995
chr10	4897073	4897189	117	5	56	0.479	0.755
chr10	5050860	5051362	503	71	373	0.742	1.027
chr10	5079547	5080543	997	139	741	0.743	1.013
chr10	5084127	5084927	801	75	525	0.655	0.872
chr10	5097890	5098284	395	37	243	0.615	1.014
chr10	5098738	5099513	776	98	547	0.705	1.043
chr10	5122610	5122938	329	37	245	0.745	0.865
chr10	5123477	5124510	1034	115	707	0.684	0.955
chr10	5126741	5128239	1499	133	940	0.627	0.906
chr10	5171493	5171636	144	22	108	0.75	1.087
chr10	5348690	5349921	1232	178	903	0.733	1.082
chr10	5372448	5372728	281	35	205	0.73	0.937
chr10	5373930	5374714	785	79	503	0.641	0.986
chr10	5401819	5402493	675	64	424	0.628	1.009
chr10	5403175	5403505	331	47	258	0.779	0.949
chr10	5605956	5606198	243	8	119	0.49	0.556
chr10	5606351	5606911	561	63	396	0.706	0.902
chr10	5639204	5639518	315	53	261	0.829	0.998
chr10	5639713	5640139	427	52	305	0.714	0.98
chr10	5640259	5640865	607	103	471	0.776	1.139
chr10	5641004	5641397	394	80	323	0.82	1.232
chr10	5690111	5690267	157	25	125	0.796	1.019
chr10	5924612	5925327	716	69	456	0.637	0.953
chr10	5925452	5926332	881	95	587	0.666	0.974
chr10	5927058	5927502	445	63	326	0.733	1.085
chr10	5927866	5927960	95	7	62	0.653	0.704
chr10	5928124	5928220	97	4	46	0.474	0.735
chr10	5931112	5931666	555	23	286	0.515	0.631
chr10	6002770	6003377	608	62	402	0.661	0.936
chr10	6003519	6003691	173	13	113	0.653	0.714
chr10	6040848	6041714	867	104	623	0.719	0.931
chr10	6063794	6064447	654	52	396	0.606	0.869
chr10	6201800	6202279	480	65	342	0.712	1.075
chr10	6203034	6203542	509	59	344	0.676	1.016
chr10	6203672	6203887	216	16	131	0.606	0.86
chr10	6204232	6204634	403	31	232	0.576	0.929
chr10	6204918	6205112	195	13	107	0.549	0.892
chr10	6205572	6205964	393	36	240	0.611	0.987
chr10	6208079	6208485	407	52	298	0.732	0.963
chr10	6208673	6208813	141	14	104	0.738	0.764
chr10	6208979	6209282	304	31	179	0.589	1.249
chr10	6210863	6211280	418	44	260	0.622	1.088
chr10	6212340	6212625	286	41	210	0.734	1.064
chr10	6212888	6213058	171	26	130	0.76	1.053
chr10	6214240	6214942	703	67	462	0.657	0.887
chr10	6331059	6332429	1371	150	935	0.682	0.95
chr10	6362847	6364546	1700	207	1198	0.705	0.981
chr10	6399680	6399884	205	36	177	0.863	0.965
chr10	6400921	6401021	101	11	74	0.733	0.812
chr10	6558757	6559296	540	72	379	0.702	1.085
chr10	6584728	6585238	511	83	400	0.783	1.061
chr10	6696883	6697181	299	48	249	0.833	0.937
chr10	6698031	6698335	305	31	220	0.721	0.789
chr10	6750479	6751054	576	53	347	0.602	1.022
chr10	6757920	6758952	1033	126	759	0.735	0.909
chr10	6770676	6771696	1021	159	793	0.777	1.04
chr10	6961599	6962368	770	94	517	0.671	1.097
chr10	6963408	6963654	247	25	175	0.709	0.864
chr10	7058479	7059594	1116	164	846	0.758	1.028
chr10	7060898	7061250	353	23	204	0.578	0.786
chr10	7144959	7145181	223	44	189	0.848	1.099
chr10	7146446	7146832	387	54	301	0.778	0.984
chr10	7180143	7180290	148	9	97	0.655	0.689
chr10	7180415	7181041	627	84	486	0.775	0.914
chr10	7196769	7197313	545	85	427	0.783	1.044
chr10	7198024	7198161	138	16	85	0.616	1.223
chr10	7202489	7202706	218	30	170	0.78	0.918
chr10	7223412	7223872	461	81	382	0.829	1.063
chr10	7224059	7224989	931	75	586	0.629	0.814
chr10	7225154	7225756	603	77	423	0.701	1.057
chr10	7303499	7304368	870	82	544	0.625	0.964
chr10	7305201	7305948	748	114	563	0.753	1.086
chr10	7414420	7414557	138	23	110	0.797	1.05
chr10	7565019	7565595	577	84	420	0.728	1.105
chr10	7565798	7565968	171	22	126	0.737	0.984
chr10	7671695	7672411	717	113	570	0.795	1.011
chr10	7691771	7692117	347	34	239	0.689	0.859
chr10	7703058	7703948	891	128	680	0.763	0.987
chr10	7706913	7707663	751	100	530	0.706	1.069
chr10	7708225	7709375	1151	127	784	0.681	0.962
chr10	7794925	7796267	1343	160	910	0.678	1.056
chr10	7839217	7840412	1196	155	848	0.709	1.031
chr10	7845951	7846524	574	81	421	0.733	1.069
chr10	7847503	7847915	413	54	316	0.765	0.896
chr10	7907042	7907407	366	44	274	0.749	0.867
chr10	7908592	7910235	1644	200	1140	0.693	1.013
chr10	8050272	8050478	207	32	163	0.787	1
chr10	8244516	8244667	152	12	93	0.612	0.848
chr10	8244828	8245841	1014	127	706	0.696	1.037
chr10	8293045	8293482	438	72	351	0.801	1.024
chr10	8365982	8367273	1292	167	925	0.716	1.01
chr10	8419301	8419466	166	18	127	0.765	0.745
chr10	8419907	8420159	253	15	149	0.589	0.684
chr10	8443239	8443437	199	17	118	0.593	0.979
chr10	8444699	8444830	132	9	84	0.636	0.674
chr10	8444966	8445242	277	14	149	0.538	0.7
chr10	8449446	8449650	205	11	102	0.498	0.872
chr10	8450182	8450708	527	80	385	0.731	1.146
chr10	8452358	8452447	90	4	48	0.533	0.756
chr10	8454629	8454832	204	28	138	0.676	1.206
chr10	8455018	8455584	567	36	333	0.587	0.746
chr10	8582481	8582894	414	56	308	0.744	1.011
chr10	8583007	8583170	164	38	136	0.829	1.367
chr10	8586400	8587232	833	122	646	0.776	0.975
chr10	8597106	8597336	231	25	156	0.675	0.962
chr10	8630429	8631614	1186	162	882	0.744	0.988
chr10	8708266	8708495	230	10	131	0.57	0.553
chr10	8746032	8746764	733	94	528	0.72	1.002
chr10	8779977	8780153	177	25	129	0.729	1.105
chr10	8781338	8781755	418	63	303	0.725	1.15
chr10	8862707	8864368	1662	247	1285	0.773	1.007
chr10	8867263	8867371	109	8	67	0.615	0.786
chr10	9050006	9050846	841	127	644	0.766	1.039
chr10	9051139	9051740	602	105	485	0.806	1.096
chr10	9051888	9052512	625	73	422	0.675	1.032
chr10	9068160	9068933	774	76	489	0.632	0.986
chr10	9080609	9080816	208	37	165	0.793	1.14
chr10	9082726	9083773	1048	170	812	0.775	1.105
chr10	9083956	9084082	127	8	72	0.567	0.785
chr10	9109664	9110274	611	56	389	0.637	0.908
chr10	9111256	9111591	336	19	194	0.577	0.679
chr10	9112537	9113021	485	74	369	0.761	1.057
chr10	9113148	9113248	101	9	64	0.634	0.902
chr10	9114197	9114975	779	107	561	0.72	1.08
chr10	9151714	9152545	832	108	593	0.713	1.023
chr10	9161761	9162262	502	35	286	0.57	0.889
chr10	9163829	9164322	494	44	304	0.615	0.948
chr10	9173541	9174021	481	36	281	0.584	0.912
chr10	9443315	9443420	106	14	86	0.811	0.804
chr10	9495935	9496226	292	28	211	0.723	0.747
chr10	9496356	9496717	362	42	258	0.713	0.914
chr10	9717373	9717756	384	22	191	0.497	0.929
chr10	9742260	9742687	428	58	299	0.699	1.111
chr10	9860477	9860650	174	11	96	0.552	0.832
chr10	9860864	9861186	323	17	195	0.604	0.579
chr10	9863786	9864022	237	13	120	0.506	0.86
chr10	9881745	9882329	585	49	425	0.726	0.635
chr10	9883351	9883488	138	26	117	0.848	1.062
chr10	9886018	9886544	527	90	382	0.725	1.319
chr10	9887776	9888128	353	59	268	0.759	1.186
chr10	9889473	9889724	252	37	196	0.778	0.981
chr10	9890016	9890127	112	11	75	0.67	0.876
chr10	9895658	9895761	104	8	57	0.548	1.081
chr10	9900296	9900356	61	5	41	0.672	0.876
chr10	9901552	9901806	255	47	220	0.863	1.002
chr10	9902353	9902515	163	16	115	0.706	0.796
chr10	9903018	9903278	261	16	154	0.59	0.714
chr10	9912917	9913064	148	9	71	0.48	1.059
chr10	9917477	9918353	877	116	639	0.729	1.013
chr10	9919184	9919503	320	53	251	0.784	1.08
chr10	9919632	9920158	527	46	340	0.645	0.843
chr10	9921151	9921327	177	14	108	0.61	0.852
chr10	9929791	9930404	614	54	395	0.643	0.858
chr10	9970591	9971447	857	72	511	0.596	0.951
chr10	9982830	9984011	1182	104	741	0.627	0.899
chr10	9985199	9985649	451	59	320	0.71	1.04
chr10	10083901	10085019	1119	142	771	0.689	1.07
chr10	10091217	10092338	1122	146	780	0.695	1.079
chr10	10127305	10127936	632	81	476	0.753	0.942
chr10	10129153	10129960	808	85	566	0.7	0.876
chr10	10151058	10151402	345	25	218	0.632	0.727
chr10	10152988	10154236	1249	125	820	0.657	0.93
chr10	10155362	10155749	388	43	259	0.668	1.007
chr10	10164812	10165168	357	19	236	0.661	0.49
chr10	10167035	10167280	246	17	153	0.622	0.724
chr10	10171439	10172865	1427	149	968	0.678	0.908
chr10	10191096	10191362	267	13	165	0.618	0.54
chr10	10191551	10192459	909	114	630	0.693	1.076
chr10	10192696	10193624	929	112	662	0.713	0.955
chr10	10193743	10193889	147	7	84	0.571	0.595
chr10	10195520	10196417	898	71	543	0.605	0.867
chr10	10232499	10232570	72	5	46	0.639	0.702
chr10	10238491	10238689	199	11	97	0.487	0.933
chr10	10292241	10293641	1401	106	834	0.595	0.87
chr10	10323392	10324203	812	113	630	0.776	0.929
chr10	10329152	10329808	657	81	458	0.697	1.079
chr10	10376244	10376479	236	21	127	0.538	1.229
chr10	10376949	10377295	347	48	236	0.68	1.2
chr10	10396909	10398125	1217	173	843	0.693	1.185
chr10	10441972	10442670	699	86	500	0.715	0.977
chr10	10452770	10453602	833	85	555	0.666	0.919
chr10	10485427	10485824	398	23	191	0.48	1.004
chr10	10527413	10528112	700	82	513	0.733	0.874
chr10	10599781	10600257	477	66	351	0.736	1.032
chr10	10606384	10606849	466	64	342	0.734	1.03
chr10	10691248	10691383	136	18	88	0.647	1.281
chr10	10691526	10692802	1277	157	906	0.709	0.984
chr10	11133412	11133532	121	24	100	0.826	1.163
chr10	11133648	11133903	256	45	212	0.828	1.143
chr10	11134320	11134463	144	9	75	0.521	0.922
chr10	11134644	11135233	590	92	485	0.822	0.963
chr10	11135393	11135805	413	52	274	0.663	1.144
chr10	11187492	11187665	174	16	99	0.569	1.15
chr10	11235702	11236094	393	24	200	0.509	0.945
chr10	11260702	11260800	99	8	66	0.667	0.728
chr10	11344305	11344466	162	10	93	0.574	0.76
chr10	11347295	11347985	691	36	411	0.595	0.589
chr10	11348265	11348799	535	84	417	0.779	1.056
chr10	11348913	11349403	491	75	386	0.786	1.035
chr10	11349669	11350203	535	27	280	0.523	0.737
chr10	11482172	11482292	121	11	81	0.669	0.812
chr10	11521472	11521701	230	13	123	0.535	0.795
chr10	11521937	11522704	768	67	472	0.615	0.926
chr10	11549727	11550459	733	109	564	0.769	1.01
chr10	11557911	11558737	827	112	602	0.728	1.034
chr10	11634912	11635710	799	95	581	0.727	0.9
chr10	11637616	11638386	771	90	559	0.725	0.89
chr10	11841262	11841729	468	65	330	0.705	1.121
chr10	11842904	11843134	231	31	179	0.775	0.9
chr10	11902099	11902763	665	97	483	0.726	1.106
chr10	11927368	11927565	198	13	110	0.556	0.855
chr10	11931859	11932292	434	49	305	0.703	0.935
chr10	11932506	11932816	311	22	211	0.678	0.627
chr10	11974436	11975053	618	83	481	0.778	0.896
chr10	12012353	12012705	353	61	288	0.816	1.048
chr10	12012829	12013564	736	72	458	0.622	1.013
chr10	12019828	12020094	267	43	217	0.813	0.991
chr10	12020377	12021138	762	81	481	0.631	1.067
chr10	12021936	12022232	297	46	226	0.761	1.108
chr10	12042471	12042748	278	15	128	0.46	1.022
chr10	12131913	12131998	86	7	41	0.477	1.44
chr10	12214012	12214445	434	65	324	0.747	1.086
chr10	12248759	12249135	377	22	190	0.504	0.922
chr10	12300496	12301420	925	97	594	0.642	1.024
chr10	12307815	12308813	999	108	684	0.685	0.93
chr10	12311825	12312818	994	108	688	0.692	0.914
chr10	12318002	12318296	295	18	149	0.505	0.984
chr10	12358976	12359645	670	95	493	0.736	1.057
chr10	12360243	12361271	1029	162	775	0.753	1.115
chr10	12361983	12362433	451	77	349	0.774	1.142
chr10	12363104	12363940	837	92	557	0.665	0.996
chr10	12377284	12377789	506	70	383	0.757	0.974
chr10	12393206	12394088	883	92	594	0.673	0.921
chr10	12394832	12395544	713	110	551	0.773	1.047
chr10	12395687	12396636	950	52	554	0.583	0.648
chr10	12402511	12402663	153	14	83	0.542	1.312
chr10	12458815	12459694	880	132	678	0.77	1.011
chr10	12540057	12540770	714	99	562	0.787	0.912
