chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chr3LHet	851071	851217	147	21	100	0.68	1.324
chr3L	319842	319940	99	14	52	0.525	2.053
chr3L	1101482	1101741	260	35	159	0.612	1.489
chr3L	2522784	2523024	241	25	126	0.523	1.55
chr3L	2762144	2762286	143	17	72	0.503	1.929
chr3L	3787936	3788081	146	15	76	0.521	1.521
chr3L	4692764	4692932	169	18	82	0.485	1.849
chr3L	5837301	5837767	467	55	243	0.52	1.756
chr3L	5838752	5838909	158	18	77	0.487	1.945
chr3L	7087857	7088004	148	20	83	0.561	1.721
chr3L	7332972	7333852	881	108	522	0.593	1.397
chr3L	7904840	7904993	154	17	74	0.481	1.964
chr3L	7972166	7972339	174	25	101	0.58	1.726
chr3L	8571752	8571917	166	24	93	0.56	1.892
chr3L	8737999	8738242	244	26	132	0.541	1.498
chr3L	8746611	8746760	150	15	79	0.527	1.461
chr3L	8747026	8747197	172	17	95	0.552	1.308
chr3L	9010273	9010556	284	31	148	0.521	1.615
chr3L	9756627	9756752	126	13	63	0.5	1.685
chr3L	10657777	10657933	157	18	83	0.529	1.66
chr3L	11591312	11591630	319	37	193	0.605	1.273
chr3L	12478031	12478221	191	28	109	0.571	1.918
chr3L	13031016	13032186	1171	152	728	0.622	1.345
chr3L	14420387	14420498	112	14	58	0.518	1.885
chr3L	16142578	16142776	199	24	109	0.548	1.615
chr3L	16476529	16476796	268	31	134	0.5	1.885
chr3L	16704560	16704729	170	18	77	0.453	2.125
chr3L	16870344	16870489	146	17	80	0.548	1.616
chr3L	17352943	17353080	138	21	90	0.652	1.434
chr3L	19038466	19038559	94	10	44	0.468	2.009
chr3L	19228355	19228624	270	24	128	0.474	1.592
chr3L	19490207	19490455	249	22	112	0.45	1.747
chr3L	20466056	20466368	313	30	148	0.473	1.716
chr3L	21164948	21165115	168	22	95	0.565	1.643
chr3L	22400812	22400923	112	13	51	0.455	2.311
chr3L	22453970	22454223	254	28	154	0.606	1.2
chr3RHet	560994	561821	828	107	498	0.601	1.494
chr3RHet	1417582	1417869	288	38	187	0.649	1.279
chr3RHet	1431569	1431932	364	45	225	0.618	1.316
chr3RHet	1441734	1442010	277	29	115	0.415	2.43
chr3RHet	1655345	1655840	496	60	303	0.611	1.312
chr3RHet	2099287	2099490	204	39	153	0.75	1.444
chr3R	159249	159534	286	48	190	0.664	1.529
chr3R	256133	256939	807	111	521	0.646	1.348
chr3R	288577	288786	210	37	139	0.662	1.619
chr3R	1342928	1343167	240	26	130	0.542	1.56
chr3R	1413330	1413453	124	18	83	0.669	1.298
chr3R	1491955	1492194	240	24	117	0.488	1.698
chr3R	5335527	5335840	314	40	181	0.576	1.541
chr3R	5378590	5378923	334	50	217	0.65	1.421
chr3R	5691062	5691298	237	29	131	0.553	1.603
chr3R	6715872	6716066	195	29	117	0.6	1.795
chr3R	7157971	7158204	234	30	133	0.568	1.588
chr3R	7585791	7585921	131	19	75	0.573	1.825
chr3R	8251162	8251326	165	19	97	0.588	1.34
chr3R	8523637	8523745	109	17	64	0.587	1.876
chr3R	9105317	9105550	234	30	121	0.517	1.918
chr3R	9491487	9491618	132	21	87	0.659	1.575
chr3R	9491849	9491991	143	22	93	0.65	1.55
chr3R	9700399	9700594	196	26	110	0.561	1.801
chr3R	10195583	10195725	143	17	73	0.51	1.853
chr3R	11051338	11051613	276	27	133	0.482	1.69
chr3R	12075275	12075721	447	40	205	0.459	1.737
chr3R	12167161	12167298	138	25	99	0.717	1.462
chr3R	12229075	12229374	300	29	165	0.55	1.281
chr3R	12559975	12560144	170	20	90	0.529	1.687
chr3R	12655322	12655596	275	29	130	0.473	1.924
chr3R	12769792	12769967	176	23	95	0.54	1.853
chr3R	13366756	13366941	186	28	118	0.634	1.512
chr3R	13544005	13544136	132	15	66	0.5	1.825
chr3R	14272993	14273093	101	15	59	0.584	1.782
chr3R	15662369	15662540	172	21	91	0.529	1.887
chr3R	16418837	16419117	281	33	136	0.484	2.016
chr3R	16819552	16819926	375	47	232	0.619	1.311
chr3R	17037510	17037842	333	41	198	0.595	1.394
chr3R	17798130	17798240	111	18	60	0.541	2.222
chr3R	17959471	17959610	140	18	71	0.507	2.01
chr3R	19506386	19506753	368	42	218	0.592	1.301
chr3R	20056531	20056793	263	30	136	0.517	1.744
chr3R	21010644	21010913	270	41	160	0.593	1.793
chr3R	22362067	22362620	554	55	277	0.5	1.601
chr3R	23750824	23750983	160	22	83	0.519	2.051
chr3R	24738465	24739197	733	74	374	0.51	1.555
chr3R	24740337	24740577	241	28	119	0.494	2.163
chr3R	25591577	25591686	110	18	68	0.618	1.714
chr3R	25614609	25614942	334	40	150	0.449	2.379
chr3R	27619667	27619890	224	21	103	0.46	1.812
chr4	12031	12525	495	60	301	0.608	1.334
chrUextra	239487	239660	174	19	80	0.46	2.132
chrUextra	646368	646910	543	71	329	0.606	1.469
chrUextra	797251	797937	687	84	419	0.61	1.407
chrUextra	884804	884954	151	23	88	0.583	1.892
chrUextra	1082687	1082801	115	15	67	0.583	1.58
chrUextra	1174369	1174632	264	40	172	0.652	1.501
chrUextra	1461369	1461569	201	28	124	0.617	1.503
chrUextra	1504159	1504912	754	91	458	0.607	1.366
chrUextra	1524101	1524274	174	23	104	0.598	1.549
chrUextra	1557155	1557345	191	25	118	0.618	1.454
chrUextra	1614576	1614874	299	46	195	0.652	1.507
chrUextra	1819089	1819714	626	79	376	0.601	1.444
chrUextra	1901882	1902128	247	32	153	0.619	1.434
chrUextra	1962469	1962800	332	48	219	0.66	1.405
chrUextra	2058189	2058360	172	25	85	0.494	2.408
chrUextra	2133862	2134040	179	26	107	0.598	1.679
chrUextra	2146561	2146768	208	25	122	0.587	1.487
chrUextra	2198886	2198994	109	16	67	0.615	1.583
chrUextra	2221636	2222206	571	86	377	0.66	1.439
chrUextra	2227121	2227744	624	72	380	0.609	1.319
chrUextra	2228287	2228847	561	70	352	0.627	1.317
chrUextra	2354116	2354335	220	30	132	0.6	1.551
chrUextra	2401695	2402558	864	130	563	0.652	1.493
chrUextra	2421937	2422482	546	72	344	0.63	1.383
chrUextra	2448983	2449261	279	33	167	0.599	1.351
chrUextra	2464207	2465007	801	104	496	0.619	1.454
chrUextra	2527558	2527864	307	41	182	0.593	1.552
chrUextra	2542872	2543421	550	74	342	0.622	1.486
chrUextra	2566081	2566733	653	79	395	0.605	1.372
chrUextra	2579571	2580029	459	74	304	0.662	1.534
chrUextra	2819391	2819551	161	21	95	0.59	1.61
chrUextra	2851764	2852240	477	61	293	0.614	1.421
chrUextra	2857352	2857645	294	38	177	0.602	1.478
chrUextra	2896127	2896912	786	107	503	0.64	1.414
chrUextra	2911610	2911730	121	19	76	0.628	1.666
chrUextra	2917824	2918034	211	26	129	0.611	1.37
chrUextra	2974627	2974865	239	33	140	0.586	1.643
chrUextra	3179923	3180458	536	74	342	0.638	1.439
chrUextra	3362515	3363021	507	69	320	0.631	1.444
chrUextra	3529969	3530557	589	75	369	0.626	1.354
chrUextra	3630175	3630410	236	31	140	0.593	1.531
chrUextra	3631242	3631515	274	39	175	0.639	1.441
chrUextra	3688880	3689551	672	89	424	0.631	1.409
chrUextra	3709107	3709307	201	27	125	0.622	1.493
chrUextra	3739478	3739693	216	27	130	0.602	1.414
chrUextra	3888593	3888959	367	45	222	0.605	1.373
chrUextra	3995572	3995966	395	57	249	0.63	1.552
chrUextra	4045113	4045696	584	83	372	0.637	1.51
chrUextra	4112351	4112879	529	81	343	0.648	1.522
chrUextra	4191455	4191613	159	21	97	0.61	1.454
chrUextra	4300240	4300495	256	59	122	0.477	4.063
chrUextra	4645008	4645310	303	39	186	0.614	1.403
chrUextra	4677124	4677506	383	47	231	0.603	1.403
chrUextra	4747618	4748158	541	72	343	0.634	1.395
chrUextra	4798832	4799359	528	70	316	0.598	1.522
chrUextra	5041362	5042031	670	91	428	0.639	1.415
chrUextra	5141760	5141884	125	17	77	0.616	1.463
chrUextra	5196052	5196497	446	61	278	0.623	1.515
chrUextra	5300656	5301059	404	54	253	0.626	1.416
chrUextra	5304783	5305086	304	38	180	0.592	1.462
chrUextra	5339938	5340282	345	45	217	0.629	1.402
chrUextra	5394980	5395485	506	67	317	0.626	1.459
chrUextra	5436066	5436750	685	98	446	0.651	1.405
chrUextra	5449059	5449394	336	47	210	0.625	1.569
chrUextra	5512522	5512672	151	22	98	0.649	1.472
chrUextra	5616871	5617218	348	42	208	0.598	1.384
chrUextra	5763632	5764079	448	58	276	0.616	1.437
chrUextra	5786916	5787086	171	24	106	0.62	1.527
chrUextra	5837231	5837504	274	38	175	0.639	1.398
chrUextra	5873743	5874065	323	40	200	0.619	1.326
chrUextra	5917124	5917629	506	67	316	0.625	1.456
chrUextra	5923920	5924173	254	35	154	0.606	1.62
chrUextra	5927857	5928095	239	31	142	0.594	1.513
chrUextra	5978782	5979167	386	45	236	0.611	1.274
chrUextra	6014196	6014393	198	28	123	0.621	1.529
chrUextra	6025823	6026254	432	57	267	0.618	1.469
chrUextra	6048784	6049104	321	42	197	0.614	1.466
chrUextra	6073827	6074126	300	36	185	0.617	1.286
chrUextra	6207537	6207658	122	18	72	0.59	1.743
chrUextra	6435170	6435281	112	14	70	0.625	1.319
chrUextra	6589698	6590210	513	65	311	0.606	1.431
chrUextra	6850937	6851074	138	22	94	0.681	1.427
chrUextra	6930736	6931326	591	85	373	0.631	1.554
chrUextra	7161331	7161980	650	102	432	0.665	1.498
chrUextra	7273082	7273310	229	27	138	0.603	1.363
chrUextra	7285891	7286128	238	29	148	0.622	1.294
chrUextra	7380562	7380756	195	27	120	0.615	1.523
chrUextra	7463696	7464489	794	192	398	0.501	3.85
chrUextra	7472353	7472529	177	27	117	0.661	1.502
chrUextra	7579135	7579442	308	38	187	0.607	1.372
chrUextra	7837344	7837647	304	39	188	0.618	1.399
chrUextra	7925456	7925693	238	38	158	0.664	1.511
chrUextra	7934218	7934361	144	21	93	0.646	1.426
chrUextra	8155935	8156236	302	39	190	0.629	1.394
chrUextra	8510528	8510783	256	37	160	0.625	1.534
chrUextra	8605506	8605709	204	43	95	0.466	3.909
chrUextra	8666082	8666560	479	64	302	0.63	1.426
chrUextra	8769903	8770190	288	58	173	0.601	2.504
chrUextra	8799200	8799516	317	44	198	0.625	1.557
chrUextra	8977199	8977474	276	49	188	0.681	1.611
chrUextra	9026387	9026733	347	43	213	0.614	1.396
chrUextra	9170771	9170952	182	23	107	0.588	1.51
chrUextra	9460064	9460670	607	97	404	0.666	1.541
chrUextra	9516959	9517374	416	58	263	0.632	1.498
chrUextra	9599984	9600096	113	16	76	0.673	1.326
chrUextra	9659329	9659663	335	51	224	0.669	1.433
chrUextra	9700243	9700465	223	33	142	0.637	1.572
chrUextra	9715078	9715278	201	28	120	0.597	1.608
chrUextra	10259306	10259531	226	33	147	0.65	1.445
chrUextra	10306575	10307004	430	57	257	0.598	1.54
chrUextra	10309283	10309682	400	52	247	0.618	1.415
chrUextra	10366450	10366573	124	22	84	0.677	1.591
chrUextra	10443636	10443792	157	23	93	0.592	1.715
chrUextra	10651491	10651807	317	41	190	0.599	1.507
chrUextra	11184610	11184708	99	15	65	0.657	1.509
chrUextra	11322351	11322590	240	31	148	0.617	1.402
chrUextra	11652089	11652602	514	77	331	0.644	1.523
chrUextra	12032818	12032970	153	20	96	0.627	1.472
chrUextra	12643491	12643633	143	20	89	0.622	1.499
chrUextra	12656306	12656464	159	40	80	0.503	3.975
chrUextra	13170195	13170334	140	20	89	0.636	1.423
chrUextra	13434051	13434210	160	21	98	0.612	1.429
chrUextra	13561698	13561853	156	27	106	0.679	1.544
chrUextra	14187873	14188206	334	44	210	0.629	1.389
chrUextra	14283299	14283682	384	55	247	0.643	1.488
chrUextra	15121473	15121808	336	46	207	0.616	1.536
chrUextra	15289216	15289581	366	54	235	0.642	1.542
chrUextra	15356767	15357230	464	56	280	0.603	1.381
chrUextra	16029327	16029584	258	34	156	0.605	1.477
chrUextra	16068149	16068482	334	47	198	0.593	1.645
chrUextra	16139855	16140429	575	91	377	0.656	1.544
chrUextra	16182756	16183152	397	59	258	0.65	1.506
chrUextra	17202556	17202738	183	22	97	0.53	1.734
chrUextra	17319073	17319425	353	45	213	0.603	1.472
chrUextra	18265168	18265528	361	53	233	0.645	1.529
chrUextra	18375503	18375634	132	19	84	0.636	1.462
chrUextra	18650081	18650205	125	18	79	0.632	1.496
chrUextra	18691049	18691249	201	27	127	0.632	1.392
chrUextra	18928675	18928850	176	26	114	0.648	1.529
chrUextra	19344729	19344987	259	35	163	0.629	1.467
chrUextra	19710901	19711216	316	40	190	0.601	1.432
chrUextra	19739736	19740097	362	47	218	0.602	1.499
chrUextra	19873380	19873807	428	60	269	0.629	1.502
chrUextra	19957711	19958159	449	70	298	0.664	1.503
chrUextra	20082577	20082808	232	31	146	0.629	1.418
chrUextra	20327953	20328191	239	31	150	0.628	1.407
chrUextra	20945539	20945874	336	49	216	0.643	1.521
chrUextra	21878696	21878896	201	29	127	0.632	1.564
chrUextra	22003295	22003600	306	37	187	0.611	1.367
chrUextra	22139907	22140368	462	74	306	0.662	1.541
chrUextra	22259955	22260113	159	22	98	0.616	1.52
chrUextra	22422916	22423130	215	31	142	0.66	1.393
chrUextra	22692007	22692205	199	29	125	0.628	1.574
chrUextra	22725951	22726368	418	51	256	0.612	1.372
chrUextra	22827651	22828001	351	70	211	0.601	2.455
chrUextra	23072673	23072897	225	29	139	0.618	1.412
chrUextra	23214400	23214514	115	17	69	0.6	1.703
chrUextra	23417872	23418000	129	18	80	0.62	1.57
chrUextra	23524607	23524801	195	47	99	0.508	3.744
chrUextra	23582160	23582448	289	43	191	0.661	1.459
chrUextra	23666931	23667089	159	22	98	0.616	1.55
chrUextra	23669107	23669424	318	42	204	0.642	1.353
chrUextra	23737217	23737356	140	19	88	0.629	1.484
chrUextra	24091173	24091597	425	55	252	0.593	1.507
chrUextra	24158929	24159263	335	57	226	0.675	1.579
chrUextra	24469944	24470286	343	44	211	0.615	1.427
chrUextra	24584721	24584866	146	21	94	0.644	1.523
chrUextra	25064231	25064672	442	68	294	0.665	1.485
chrUextra	25306992	25307293	302	57	180	0.596	2.335
chrUextra	25354308	25354575	268	40	173	0.646	1.558
chrUextra	25420513	25420640	128	18	80	0.625	1.582
chrUextra	25464162	25464269	108	16	66	0.611	1.624
chrUextra	25741363	25741569	207	28	123	0.594	1.578
chrUextra	26118568	26118895	328	53	219	0.668	1.555
chrUextra	26179232	26179714	483	78	320	0.663	1.537
chrUextra	26249184	26249378	195	27	124	0.636	1.443
chrUextra	26346082	26346224	143	20	86	0.601	1.568
chrUextra	26451887	26451997	111	17	73	0.658	1.544
chrUextra	26932800	26932928	129	18	80	0.62	1.595
chrUextra	26977188	26977410	223	35	144	0.646	1.584
chrUextra	27097055	27097209	155	39	78	0.503	3.974
chrUextra	27105055	27105249	195	39	89	0.456	3.88
chrUextra	27211536	27211984	449	72	300	0.668	1.525
chrUextra	27216451	27216688	238	28	144	0.605	1.302
chrUextra	27477922	27478094	173	33	103	0.595	2.471
chrUextra	27489184	27489343	160	22	96	0.6	1.571
chrUextra	27585813	27586146	334	47	198	0.593	1.639
chrUextra	27711593	27711823	231	35	148	0.641	1.593
chrUextra	27784593	27784881	289	36	175	0.606	1.403
chrUextra	27793860	27794030	171	29	114	0.667	1.61
chrUextra	27970354	27970718	365	56	240	0.658	1.521
chrUextra	28018276	28018493	218	34	139	0.638	1.652
chrUextra	28059906	28060205	300	46	194	0.647	1.571
chrUextra	28258305	28258456	152	19	92	0.605	1.397
chrUextra	28265539	28265776	238	36	153	0.643	1.577
chrUextra	28290851	28291026	176	28	116	0.659	1.586
chrUextra	28302232	28302479	248	37	161	0.649	1.514
chrUextra	28520015	28520222	208	40	123	0.591	2.506
chrUextra	28567392	28567567	176	43	88	0.5	3.909
chrUextra	28663024	28663154	131	26	61	0.466	3.662
chrUextra	28700641	28700976	336	62	194	0.577	2.448
chrUextra	28751279	28751506	228	47	183	0.803	1.28
chrUextra	28805040	28805282	243	58	120	0.494	3.916
chrUextra	28859807	28860096	290	67	134	0.462	4.328
chrUextra	28925570	28925788	219	42	131	0.598	2.403
chrUextra	28955680	28955892	213	48	101	0.474	4.019
chrU	295418	295513	96	14	42	0.438	3.076
chrU	336578	336719	142	21	93	0.655	1.407
chrU	340771	340908	138	22	92	0.667	1.48
chrU	1212183	1212398	216	26	102	0.472	2.16
chrU	1219969	1220123	155	19	68	0.439	2.556
chrU	1225745	1225933	189	22	84	0.444	2.357
chrU	1573999	1574336	338	45	213	0.63	1.37
chrU	2014562	2018241	3680	424	2184	0.593	1.333
chrU	2018384	2019570	1187	147	714	0.602	1.402
chrU	2020599	2024155	3557	417	2163	0.608	1.294
chrU	2024991	2025645	655	79	405	0.618	1.289
chrU	2025842	2037602	11761	1425	7082	0.602	1.364
chrU	2037930	2040306	2377	284	1453	0.611	1.302
chrU	2040927	2041039	113	16	69	0.611	1.545
chrU	2041224	2042048	825	101	504	0.611	1.336
chrU	2042617	2043208	592	77	360	0.608	1.437
chrU	2043507	2048017	4511	555	2729	0.605	1.377
chrU	2254431	2254948	518	70	329	0.635	1.376
chrU	2256208	2256381	174	26	110	0.632	1.537
chrU	2266552	2266690	139	16	85	0.612	1.261
chrU	2266894	2269082	2189	261	1326	0.606	1.333
chrU	2269200	2269708	509	57	307	0.603	1.249
chrU	2270949	2271274	326	43	204	0.626	1.413
chrU	2271640	2272351	712	84	432	0.607	1.321
chrU	2278064	2278274	211	28	130	0.616	1.466
chrU	2278463	2279326	864	100	525	0.608	1.302
chrU	2286511	2286652	142	20	91	0.641	1.41
chrU	2287393	2291506	4114	482	2522	0.613	1.29
chrU	2728786	2728897	112	15	68	0.607	1.485
chrU	2729862	2730418	557	67	338	0.607	1.331
chrU	2730722	2732408	1687	204	1018	0.603	1.365
chrU	2732678	2733918	1241	145	754	0.608	1.299
chrU	2736631	2736895	265	30	159	0.6	1.269
chrU	2741030	2747408	6379	773	3885	0.609	1.361
chrU	3137697	3148454	10758	1302	6613	0.615	1.34
chrU	3149860	3150717	858	98	526	0.613	1.244
chrU	3151016	3153457	2442	306	1518	0.622	1.351
chrU	3153728	3155321	1594	197	986	0.619	1.356
chrU	3156164	3157328	1165	143	728	0.625	1.306
chrU	3158035	3158462	428	54	260	0.607	1.404
chrU	3158815	3158930	116	17	71	0.612	1.619
chrU	3488815	3494127	5313	605	3261	0.614	1.258
chrU	3494260	3494624	365	44	224	0.614	1.318
chrU	3495560	3496562	1003	118	613	0.611	1.309
chrU	3504864	3505216	353	50	228	0.646	1.439
chrU	3728353	3728872	520	64	316	0.608	1.386
chrU	3730244	3730370	127	19	82	0.646	1.508
chrU	3732432	3732624	193	27	123	0.637	1.428
chrU	3741919	3742479	561	65	347	0.619	1.236
chrU	3742591	3743355	765	89	468	0.612	1.298
chrU	3791028	3795521	4494	522	2734	0.608	1.285
chrU	3796113	3796493	381	46	232	0.609	1.335
chrU	3799982	3800588	607	76	365	0.601	1.422
chrU	3802354	3803198	845	98	518	0.613	1.269
chrU	3807903	3808017	115	17	74	0.643	1.498
chrU	3808483	3808591	109	15	63	0.578	1.668
chrU	3809127	3809482	356	44	221	0.621	1.333
chrU	3810496	3811522	1027	128	644	0.627	1.31
chrU	3818453	3819330	878	106	539	0.614	1.313
chrU	3861023	3861470	448	57	278	0.621	1.373
chrU	3862068	3864674	2607	303	1599	0.613	1.279
chrU	3864884	3866913	2030	250	1252	0.617	1.341
chrU	3910913	3912958	2046	290	1282	0.627	1.522
chrU	3914404	3914754	351	45	221	0.63	1.323
chrU	3972737	3977766	5030	626	3111	0.618	1.385
chrU	3982354	3986653	4300	530	2662	0.619	1.358
chrU	4156546	4158018	1473	172	892	0.606	1.296
chrU	4165619	4166079	461	51	277	0.601	1.241
chrU	4166307	4168704	2398	274	1474	0.615	1.24
chrU	4168853	4169186	334	43	204	0.611	1.425
chrU	4169714	4169841	128	16	81	0.633	1.282
chrU	4221696	4221930	235	24	98	0.417	2.365
chrU	4225859	4226336	478	53	287	0.6	1.274
chrU	4226803	4227471	669	77	401	0.599	1.336
chrU	4228854	4229510	657	76	394	0.6	1.339
chrU	4229744	4229985	242	30	148	0.612	1.383
chrU	4230554	4231325	772	89	467	0.605	1.308
chrU	4232805	4233225	421	51	246	0.584	1.503
chrU	4234945	4235085	141	18	85	0.603	1.464
chrU	4863348	4864784	1437	168	889	0.619	1.286
chrU	4870724	4870941	218	27	137	0.628	1.274
chrU	4871136	4871425	290	38	181	0.624	1.426
chrU	4996375	4996514	140	18	87	0.621	1.362
chrU	5146000	5146299	300	41	188	0.627	1.419
chrU	5147490	5148735	1246	152	757	0.608	1.364
chrU	5234369	5234652	284	38	167	0.588	1.583
chrU	5234912	5236478	1567	187	961	0.613	1.301
chrU	5459522	5459878	357	42	218	0.611	1.316
chrU	5460480	5460845	366	48	231	0.631	1.396
chrU	5463711	5464239	529	61	318	0.601	1.309
chrU	5464816	5464975	160	21	98	0.612	1.46
chrU	5486549	5486833	285	35	171	0.6	1.394
chrU	5489136	5489333	198	24	123	0.621	1.271
chrU	5490098	5490301	204	25	127	0.623	1.3
chrU	5490948	5491100	153	22	95	0.621	1.53
chrU	5499635	5499881	247	39	161	0.652	1.579
chrU	5501044	5501501	458	53	278	0.607	1.318
chrU	5543419	5543552	134	20	88	0.657	1.411
chrU	5648607	5648896	290	36	184	0.634	1.267
chrU	5651681	5652047	367	41	220	0.599	1.267
chrU	5710911	5711854	944	106	574	0.608	1.245
chrU	5712192	5712443	252	31	156	0.619	1.365
chrU	5713688	5714506	819	92	492	0.601	1.274
chrU	5865049	5865182	134	21	91	0.679	1.388
chrU	5893828	5894657	830	94	506	0.61	1.252
chrU	5895072	5896156	1085	126	660	0.608	1.284
chrU	5896625	5897490	866	98	530	0.612	1.234
chrU	5897681	5897887	207	27	124	0.599	1.501
chrU	5972517	5973008	492	61	306	0.622	1.323
chrU	5973364	5976768	3405	405	2080	0.611	1.316
chrU	6029474	6030306	833	96	511	0.613	1.255
chrU	6046847	6050732	3886	499	2418	0.622	1.398
chrU	6065024	6066561	1538	203	968	0.629	1.433
chrU	6067716	6068824	1109	140	683	0.616	1.406
chrU	6096499	6097039	541	66	336	0.621	1.322
chrU	6099391	6099743	353	47	223	0.632	1.386
chrU	6122754	6123229	476	55	294	0.618	1.276
chrU	6124111	6126573	2463	298	1501	0.609	1.365
chrU	6177449	6178288	840	94	515	0.613	1.221
chrU	6183344	6184192	849	132	557	0.656	1.519
chrU	6184628	6185584	957	153	630	0.658	1.555
chrU	6208481	6210401	1921	241	1170	0.609	1.416
chrU	6211465	6212110	646	76	393	0.608	1.328
chrU	6314354	6316049	1696	244	1068	0.63	1.531
chrU	6346135	6347004	870	106	529	0.608	1.347
chrU	6347957	6349407	1451	187	863	0.595	1.493
chrU	6422449	6424430	1982	231	1208	0.609	1.282
chrU	6425087	6425281	195	23	117	0.6	1.346
chrU	6439833	6440220	388	51	239	0.616	1.42
chrU	6449929	6450212	284	29	122	0.43	2.214
chrU	6463521	6466541	3021	363	1835	0.607	1.358
chrU	6481767	6482498	732	84	445	0.608	1.282
chrU	6482973	6484832	1860	209	1124	0.604	1.28
chrU	6576517	6576635	119	16	78	0.655	1.307
chrU	6576773	6576913	141	18	84	0.596	1.493
chrU	6637476	6640288	2813	335	1711	0.608	1.34
chrU	6651237	6651355	119	16	75	0.63	1.396
chrU	6651844	6652078	235	32	145	0.617	1.468
